guid,keys,vals,pairs,total
cpb-aacip-398-00ns1wds.50670,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-398-00ns1wds.50865,0,0,0,0
cpb-aacip-398-00ns1wds.50880,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-398-00ns1wds.51075,1.0,1.0,1.0,0.3333333333333333
cpb-aacip-398-00ns1wds.51315,0,0,0,0
cpb-aacip-398-00ns1wds.51330,0,0,0,0
cpb-aacip-398-5370s4sx.85920,0,0,0,0
cpb-aacip-398-5370s4sx.85935,0,0,0,0
cpb-aacip-398-5370s4sx.85965,0,0,0,0
cpb-aacip-398-5370s4sx.85980,0,0,0,0
cpb-aacip-398-5370s4sx.86010,0,0,0,0
cpb-aacip-398-5370s4sx.86025,0,0,0,0
cpb-aacip-398-5370s4sx.86055,0,0,0,0
cpb-aacip-398-5370s4sx.86070,0,0,0,0
cpb-aacip-398-5370s4sx.86085,0,0,0,0
cpb-aacip-398-5370s4sx.86115,0,0,0,0
cpb-aacip-398-5370s4sx.86160,0,0,0,0
cpb-aacip-398-5370s4sx.86175,0,0,0,0
cpb-aacip-398-5370s4sx.86190,0,0,0,0
cpb-aacip-398-5370s4sx.86205,0,0,0,0
cpb-aacip-398-5370s4sx.86250,0,0,0,0
cpb-aacip-398-5370s4sx.86265,0,0,0,0
cpb-aacip-398-5370s4sx.86280,0,0,0,0
cpb-aacip-398-5370s4sx.86340,0,0,0,0
cpb-aacip-398-5370s4sx.86355,0,0,0,0
cpb-aacip-398-5370s4sx.86370,0,0,0,0
cpb-aacip-398-5370s4sx.86400,0,0,0,0
cpb-aacip-398-5370s4sx.86415,0,0,0,0
cpb-aacip-398-72p5hz1h.18570,0,0,0,0
cpb-aacip-398-72p5hz1h.18585,0,0,0,0
cpb-aacip-398-72p5hz1h.18600,1,1,1,1
cpb-aacip-398-72p5hz1h.18615,0,0,0,0
cpb-aacip-398-72p5hz1h.18630,0,0,0,0
cpb-aacip-398-72p5hz1h.18645,0,0,0,0
cpb-aacip-398-72p5hz1h.18660,0,0,0,0
cpb-aacip-398-72p5hz1h.18675,0,0,0,0
cpb-aacip-398-72p5hz1h.18690,1,1,1,1
cpb-aacip-398-72p5hz1h.18705,1,1,1,1
cpb-aacip-398-72p5hz1h.18720,1,1,1,1
cpb-aacip-398-72p5hz1h.18735,1,1,1,1
cpb-aacip-398-72p5hz1h.18810,0,0,0,0
cpb-aacip-398-72p5hz1h.18825,1,1,1,1
cpb-aacip-398-72p5hz1h.18840,0,0,0,0
cpb-aacip-398-72p5hz1h.18855,0,0,0,0
cpb-aacip-398-72p5hz1h.18870,0,0,0,0
cpb-aacip-398-72p5hz1h.18885,0,0,0,0
cpb-aacip-398-72p5hz1h.18900,0,0,0,0
cpb-aacip-398-72p5hz1h.18915,0,0,0,0
cpb-aacip-41-10wpzpt5.52950,0,0,0,0
cpb-aacip-41-10wpzpt5.53010,0,0,0,0
cpb-aacip-41-10wpzpt5.53130,0,0,0,0
cpb-aacip-41-10wpzpt5.53205,0,0,0,0
cpb-aacip-41-10wpzpt5.53310,0,0,0,0
cpb-aacip-41-10wpzpt5.53400,0,0,0,0
cpb-aacip-41-10wpzpt5.53505,0,0,0,0
cpb-aacip-41-10wpzpt5.53595,0,0,0,0
cpb-aacip-41-10wpzpt5.53700,0,0,0,0
cpb-aacip-507-154dn40c26.105150,0,0,0,0
cpb-aacip-507-154dn40c26.105240,0,0,0,0
cpb-aacip-507-154dn40c26.105345,0,0,0,0
cpb-aacip-507-154dn40c26.105450,0,0,0,0
cpb-aacip-507-154dn40c26.105540,0,0,0,0
cpb-aacip-507-154dn40c26.105645,0,0,0,0
cpb-aacip-507-154dn40c26.105750,0,0,0,0
cpb-aacip-507-154dn40c26.105870,0,0,0,0
cpb-aacip-507-154dn40c26.105945,0,0,0,0
cpb-aacip-507-154dn40c26.106215,0,0,0,0
cpb-aacip-507-154dn40c26.1500,0,0,0,0
cpb-aacip-507-154dn40c26.86940,1,1,1,1
cpb-aacip-507-6t0gt5g28c.3510,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53610,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53640,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53685,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53730,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53760,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53805,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53850,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53895,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53940,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53985,0,0,0,0
cpb-aacip-507-6t0gt5g28c.54030,0,0,0,0
cpb-aacip-507-6t0gt5g28c.54090,0,0,0,0
cpb-aacip-507-6t0gt5g28c.54135,0,0,0,0
cpb-aacip-507-6t0gt5g28c.54180,0,0,0,0
